序号,帧ID,时间标识,类型,报文描述,报文内容,长度,数据(Hex),
628,0x0CF00A00,23:54:07.656,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 80 04 FF FF FF FF ),8,FF FF 80 04 FF FF FF FF ,
629,0x0CF00E00,23:54:07.656,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
630,0x1CFE9200,23:54:07.656,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x92 ) SA(0x0 ) PGN(0xFE92 ) Data Field(0x0C FF FF FF 42 00 10 00 ),8,0C FF FF FF 42 00 10 00 ,
631,0x18FE9600,23:54:07.658,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x96 ) SA(0x0 ) PGN(0xFE96 ) Data Field(0xFF FF FF FF FF FF FF FF ),8,FF FF FF FF FF FF FF FF ,
632,0x18FEE000,23:54:07.658,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xE0 ) SA(0x0 ) PGN(0xFEE0 ) Data Field(0x00 00 00 00 00 00 00 00 ),8,00 00 00 00 00 00 00 00 ,
633,0x18FEF000,23:54:07.658,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF0 ) SA(0x0 ) PGN(0xFEF0 ) Data Field(0xFF 48 38 40 38 01 00 FF ),8,FF 48 38 40 38 01 00 FF ,
634,0x18FEF100,23:54:07.659,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF1 ) SA(0x0 ) PGN(0xFEF1 ) Data Field(0xFF 00 00 FF FF 00 0C FF ),8,FF 00 00 FF FF 00 0C FF ,
635,0x18FEF200,23:54:07.659,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF2 ) SA(0x0 ) PGN(0xFEF2 ) Data Field(0x56 00 00 00 71 01 29 FF ),8,56 00 00 00 71 01 29 FF ,
636,0x0C0000EA,23:54:07.664,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
637,0x0CF00400,23:54:07.669,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x73 82 8F 38 38 00 FF 8F ),8,73 82 8F 38 38 00 FF 8F ,
638,0x0C0000EA,23:54:07.675,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
639,0x0C0000EA,23:54:07.685,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
640,0x0CF00400,23:54:07.693,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x73 82 8F 34 38 00 FF 8F ),8,73 82 8F 34 38 00 FF 8F ,
641,0x0C0000EA,23:54:07.696,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
642,0x0C0000EA,23:54:07.704,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
643,0x0CF00300,23:54:07.710,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 10 00 FF FF FF E1 ),8,D0 FF 10 00 FF FF FF E1 ,
644,0x0CF00400,23:54:07.710,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x63 82 8F 50 38 00 FF 8F ),8,63 82 8F 50 38 00 FF 8F ,
645,0x0CF00A00,23:54:07.712,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 38 04 FF FF FF FF ),8,FF FF 38 04 FF FF FF FF ,
646,0x0CF00E00,23:54:07.712,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
647,0x0C0000EA,23:54:07.715,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
648,0x0C0000EA,23:54:07.724,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
649,0x0CF00400,23:54:07.728,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x43 82 8F 3C 38 00 FF 8F ),8,43 82 8F 3C 38 00 FF 8F ,
650,0x0C0000EA,23:54:07.735,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
651,0x0CF00400,23:54:07.743,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x33 82 8F 2C 38 00 FF 8F ),8,33 82 8F 2C 38 00 FF 8F ,
652,0x0C0000EA,23:54:07.745,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
653,0x0CF00300,23:54:07.751,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 10 00 FF FF FF E1 ),8,D0 FF 10 00 FF FF FF E1 ,
654,0x0CF00A00,23:54:07.751,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 4E 04 FF FF FF FF ),8,FF FF 4E 04 FF FF FF FF ,
655,0x0CF00E00,23:54:07.753,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
656,0x1CFE9200,23:54:07.753,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x92 ) SA(0x0 ) PGN(0xFE92 ) Data Field(0x0C FF FF FF 40 00 0F 00 ),8,0C FF FF FF 40 00 0F 00 ,
657,0x18FE9600,23:54:07.753,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x96 ) SA(0x0 ) PGN(0xFE96 ) Data Field(0xFF FF FF FF FF FF FF FF ),8,FF FF FF FF FF FF FF FF ,
658,0x18FEE000,23:54:07.753,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xE0 ) SA(0x0 ) PGN(0xFEE0 ) Data Field(0x00 00 00 00 00 00 00 00 ),8,00 00 00 00 00 00 00 00 ,
659,0x18FEF000,23:54:07.755,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF0 ) SA(0x0 ) PGN(0xFEF0 ) Data Field(0xFF 30 38 40 38 01 00 FF ),8,FF 30 38 40 38 01 00 FF ,
660,0x0C0000EA,23:54:07.755,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
661,0x18FEF100,23:54:07.755,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF1 ) SA(0x0 ) PGN(0xFEF1 ) Data Field(0xFF 00 00 FF FF 00 0C FF ),8,FF 00 00 FF FF 00 0C FF ,
662,0x18FEF200,23:54:07.757,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF2 ) SA(0x0 ) PGN(0xFEF2 ) Data Field(0x54 00 00 00 71 01 29 FF ),8,54 00 00 00 71 01 29 FF ,
663,0x0CF00400,23:54:07.761,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x33 82 8F 34 38 00 FF 8F ),8,33 82 8F 34 38 00 FF 8F ,
664,0x0C0000EA,23:54:07.764,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
665,0x0C0000EA,23:54:07.774,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
666,0x0C0000EA,23:54:07.785,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
667,0x0CF00400,23:54:07.793,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x43 82 8F 48 38 00 FF 8F ),8,43 82 8F 48 38 00 FF 8F ,
668,0x0C0000EA,23:54:07.795,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
669,0x0C0000EA,23:54:07.804,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
670,0x0CF00300,23:54:07.811,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 10 00 FF FF FF E1 ),8,D0 FF 10 00 FF FF FF E1 ,
671,0x0CF00400,23:54:07.811,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x43 82 8F 50 38 00 FF 8F ),8,43 82 8F 50 38 00 FF 8F ,
672,0x0CF00A00,23:54:07.811,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 3C 04 FF FF FF FF ),8,FF FF 3C 04 FF FF FF FF ,
673,0x0CF00E00,23:54:07.812,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
674,0x0C0000EA,23:54:07.815,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
675,0x0C0000EA,23:54:07.826,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
676,0x0CF00400,23:54:07.828,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x23 82 8F 3C 38 00 FF 8F ),8,23 82 8F 3C 38 00 FF 8F ,
677,0x0C0000EA,23:54:07.835,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
678,0x0CF00400,23:54:07.843,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x33 82 8F 38 38 00 FF 8F ),8,33 82 8F 38 38 00 FF 8F ,
679,0x0C0000EA,23:54:07.845,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
680,0x0CF00300,23:54:07.853,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 10 00 FF FF FF E1 ),8,D0 FF 10 00 FF FF FF E1 ,
681,0x0CF00A00,23:54:07.853,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 38 04 FF FF FF FF ),8,FF FF 38 04 FF FF FF FF ,
682,0x0CF00E00,23:54:07.855,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
683,0x0CFD9200,23:54:07.855,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0x92 ) SA(0x0 ) PGN(0xFD92 ) Data Field(0xF0 FF FF FF FF F3 FF 00 ),8,F0 FF FF FF FF F3 FF 00 ,
684,0x18FDB200,23:54:07.855,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0xB2 ) SA(0x0 ) PGN(0xFDB2 ) Data Field(0xFF FF FF FF 00 00 FF FF ),8,FF FF FF FF 00 00 FF FF ,
685,0x0C0000EA,23:54:07.855,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
686,0x18FDD000,23:54:07.856,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFD ) GE(0xD0 ) SA(0x0 ) PGN(0xFDD0 ) Data Field(0xFF FF FF FF 1C 3B 02 FF ),8,FF FF FF FF 1C 3B 02 FF ,
687,0x1CFE9200,23:54:07.858,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x7 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x92 ) SA(0x0 ) PGN(0xFE92 ) Data Field(0x0C FF FF FF 40 00 0E 00 ),8,0C FF FF FF 40 00 0E 00 ,
688,0x18FE9600,23:54:07.858,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0x96 ) SA(0x0 ) PGN(0xFE96 ) Data Field(0xFF FF FF FF FF FF FF FF ),8,FF FF FF FF FF FF FF FF ,
689,0x18FEDF00,23:54:07.858,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xDF ) SA(0x0 ) PGN(0xFEDF ) Data Field(0x88 40 38 7D 7D FF FF F5 ),8,88 40 38 7D 7D FF FF F5 ,
690,0x18FEE000,23:54:07.858,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xE0 ) SA(0x0 ) PGN(0xFEE0 ) Data Field(0x00 00 00 00 00 00 00 00 ),8,00 00 00 00 00 00 00 00 ,
691,0x18FEEF00,23:54:07.858,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xEF ) SA(0x0 ) PGN(0xFEEF ) Data Field(0xFF FF FF 0C FF FF FF FF ),8,FF FF FF 0C FF FF FF FF ,
692,0x18FEF000,23:54:07.860,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF0 ) SA(0x0 ) PGN(0xFEF0 ) Data Field(0xFF 40 38 40 38 01 00 FF ),8,FF 40 38 40 38 01 00 FF ,
693,0x18FEF100,23:54:07.860,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF1 ) SA(0x0 ) PGN(0xFEF1 ) Data Field(0xFF 00 00 FF FF 00 0C FF ),8,FF 00 00 FF FF 00 0C FF ,
694,0x18FEF200,23:54:07.862,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF2 ) SA(0x0 ) PGN(0xFEF2 ) Data Field(0x53 00 00 00 70 01 29 FF ),8,53 00 00 00 70 01 29 FF ,
695,0x18FEF600,23:54:07.862,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xF6 ) SA(0x0 ) PGN(0xFEF6 ) Data Field(0xFF 01 4B 1C FF FF FF FF ),8,FF 01 4B 1C FF FF FF FF ,
696,0x18FEFD00,23:54:07.862,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x6 ) R(0x0 ) DP(0x0 ) PF(0xFE ) GE(0xFD ) SA(0x0 ) PGN(0xFEFD ) Data Field(0xFF 00 00 FF FF FF FF FF ),8,FF 00 00 FF FF FF FF FF ,
697,0x0C0000EA,23:54:07.866,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
698,0x0CF00400,23:54:07.868,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x43 82 8F 28 38 00 FF 8F ),8,43 82 8F 28 38 00 FF 8F ,
699,0x0C0000EA,23:54:07.875,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
700,0x0CF00400,23:54:07.885,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x53 82 8F 34 38 00 FF 8F ),8,53 82 8F 34 38 00 FF 8F ,
701,0x0C0000EA,23:54:07.885,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
702,0x0C0000EA,23:54:07.895,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
703,0x0C0000EA,23:54:07.906,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
704,0x0CF00300,23:54:07.910,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 10 00 FF FF FF E1 ),8,D0 FF 10 00 FF FF FF E1 ,
705,0x0CF00400,23:54:07.910,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x73 82 8F 2C 38 00 FF 8F ),8,73 82 8F 2C 38 00 FF 8F ,
706,0x0CF00A00,23:54:07.912,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 33 04 FF FF FF FF ),8,FF FF 33 04 FF FF FF FF ,
707,0x0CF00E00,23:54:07.912,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xE ) SA(0x0 ) PGN(0xF00E ) Data Field(0xFF FF 32 5B FF FF FF FF ),8,FF FF 32 5B FF FF FF FF ,
708,0x0C0000EA,23:54:07.916,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
709,0x0C0000EA,23:54:07.925,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
710,0x0CF00400,23:54:07.927,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x73 82 8F 2C 38 00 FF 8F ),8,73 82 8F 2C 38 00 FF 8F ,
711,0x0C0000EA,23:54:07.936,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
712,0x0CF00400,23:54:07.943,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x4 ) SA(0x0 ) PGN(0xF004 ) Data Field(0x03 83 90 20 38 00 FF 8F ),8,03 83 90 20 38 00 FF 8F ,
713,0x0C0000EA,23:54:07.945,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
714,0x0C0000EA,23:54:07.956,接收  CAN    扩展帧  数据帧,PDU1,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0x0 ) DA(0x0 ) SA(0xEA ) PGN(0x0 ) Data Field(0x97 40 38 FF 17 00 00 00 ),8,97 40 38 FF 17 00 00 00 ,
715,0x0CF00300,23:54:07.960,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0x3 ) SA(0x0 ) PGN(0xF003 ) Data Field(0xD0 FF 11 00 FF FF FF E1 ),8,D0 FF 11 00 FF FF FF E1 ,
716,0x0CF00A00,23:54:07.960,接收  CAN    扩展帧  数据帧,PDU2,Priority(0x3 ) R(0x0 ) DP(0x0 ) PF(0xF0 ) GE(0xA ) SA(0x0 ) PGN(0xF00A ) Data Field(0xFF FF 89 04 FF FF FF FF ),8,FF FF 89 04 FF FF FF FF ,
